Timestamp,ax,ay,az
1,1918,-4404,392
2,2064,-4427,484
3,2165,-4495,410
4,2173,-4477,131
5,2152,-4376,177
6,1911,-4326,631
7,1807,-4286,688
8,1681,-4235,317
9,1412,-4168,357
10,1397,-4133,681
11,1452,-4070,881
12,1185,-3975,977
13,1124,-3936,1031
14,1179,-3830,1062
15,679,-3736,1131
16,422,-3480,1246
17,438,-2716,976
18,-374,-4190,1455
19,681,-3828,1682
20,1738,-3928,999
21,2272,-3742,1122
22,2323,-3405,2370
23,1968,-3290,3073
24,2047,-3290,2966
25,2372,-3524,2477
26,2782,-3574,2146
27,3712,-3507,2291
28,3755,-3376,2157
29,2809,-3391,2399
30,2523,-3354,3054
31,2423,-3229,2900
32,2523,-3186,2324
33,2599,-4144,1570
34,2178,-4671,1189
35,2312,-4347,2046
36,2721,-3889,3363
37,2689,-3480,3368
38,2556,-3111,2186
39,3100,-2668,1494
40,4181,-3168,253
41,4715,-2886,-181
42,4062,-2849,1055
43,2682,-2918,1380
44,3112,-2517,964
45,4937,-2907,373
46,5084,-3064,-948
47,3140,-2773,1318
48,3098,-2963,1533
49,3448,-2797,1219
50,3717,-2748,1711
51,3988,-2671,169
52,3627,-2923,-2601
53,3195,-2257,1430
54,4820,-2127,2111
55,3762,-2234,1253
56,3129,-2064,963
57,3710,-2212,402
58,3942,-2798,189
59,3250,-2323,-189
60,3928,-1828,1042
61,4333,-2142,1490
62,2307,-3366,1856
63,3893,-1777,216
64,4548,-2249,-1624
65,2714,-2239,299
66,4103,-2314,1075
67,4373,-2292,958
68,3602,-1626,524
69,3518,-2034,255
70,3360,-1929,-111
71,3803,-1745,398
72,4502,-2018,1195
73,4480,-2386,564
74,3475,-1701,-911
75,3830,-1723,-844
76,4641,-2251,-28
77,4734,-2094,287
78,4373,-2140,119
79,3944,-2043,-430
80,3865,-1738,-621
81,4269,-1516,-319
82,4564,-1780,49
83,4072,-2071,-98
84,3297,-4540,-973
85,2354,-3731,342
86,2765,338,756
87,4049,-1520,259
88,3869,166,188
89,4361,-1396,-26
90,4714,-1370,565
91,4958,-723,1327
92,4522,-308,731
93,4237,-879,-155
94,4700,-1016,309
95,4643,-897,409
96,4623,-421,823
97,4436,-780,596
98,4032,-1470,-181
99,4228,-1885,-72
100,4176,-1926,-158
101,4462,-1658,168
102,4391,-1694,60
103,3988,-1627,-238
104,3812,-1757,-518
105,4062,-2148,-493
106,4424,-1908,89
107,4347,-1294,374
108,3963,-1010,7
109,3471,-944,-548
110,3858,-1941,-395
111,4556,-2892,249
112,4429,-2146,536
113,3781,-1856,93
114,3528,-1824,-167
115,3591,-1995,-132
116,3770,-2485,67
117,4007,-2289,462
118,4073,-1721,698
119,4003,-1737,524
120,4193,-1524,495
121,4375,-1514,467
122,4417,-1875,227
123,4401,-1418,193
124,4333,-1132,186
125,4360,-944,297
126,4353,-545,498
127,4576,-772,670
128,4815,-1184,785
129,4748,-1406,654
130,4502,-1327,505
131,4333,-1118,638
132,4526,-1492,840
133,4689,-2202,781
134,4642,-2252,681
135,4459,-1974,614
136,4392,-1877,615
137,4424,-1638,701
138,4300,-1481,573
139,4395,-1597,732
140,4604,-1564,1018
141,4465,-1049,905
142,4245,-749,676
143,4211,-878,751
144,4288,-1042,926
145,4337,-1050,1061
146,4236,-1247,1046
147,4113,-1523,1024
148,4018,-1442,1210
149,3903,-918,1343
150,4094,-1254,1355
151,4373,-2002,1391
152,4356,-1866,1417
153,4086,-1438,1296
154,4068,-1343,1363
155,4172,-1414,1583
156,4236,-1711,1545
157,4322,-1928,1436
158,4365,-1679,1435
159,4230,-1176,1455
160,4283,-597,1813
161,4529,-902,2168
162,4795,-1481,2497
163,4908,-1597,2678
164,4703,-1477,2483
165,4418,-1325,2338
166,4254,-1662,2214
167,4228,-2335,2045
168,4195,-2645,1956
169,4374,-3156,2066
170,4374,-3306,2009
171,4223,-2885,1881
172,4126,-2915,1648
173,3826,-2424,1459
174,4137,-1788,1889
175,4445,-1361,2224
176,4450,-1238,2158
177,4004,-1579,1442
178,3785,-1210,1156
179,4254,-1076,1646
180,4424,-369,2030
181,3990,408,1342
182,3678,1429,868
183,3312,2325,741
184,3620,2001,929
185,4008,1582,1209
186,4097,990,951
187,3844,334,12
188,3636,662,-401
189,4688,120,421
190,5989,-465,1719
191,5767,-673,1602
192,5349,-779,1002
193,5234,-647,753
194,5299,-339,1040
195,5428,-553,1081
196,5191,-441,878
197,4744,222,466
198,4619,630,78
199,4753,587,92
200,4927,610,591
201,4580,723,459
202,4154,788,328
203,4428,-288,614
204,4297,-53,841
205,3911,1133,1224
206,3875,895,1232
207,4022,116,1363
208,4052,-137,1583
209,4077,-77,1347
210,3978,276,964
211,3985,372,928
212,4268,-22,1642
213,4335,-71,1861
214,4147,412,1576
215,4096,451,694
216,4100,417,125
217,4373,132,1330
218,4565,-325,2621
219,4585,-1063,1847
220,4369,-581,1148
221,4162,112,1292
222,3865,1737,1778
223,3829,2136,2178
224,4328,1033,2334
225,4385,400,1907
226,4313,1014,2266
227,4123,1576,2934
228,4607,433,3246
229,5064,-130,2927
230,4649,345,2219
231,4422,438,2109
232,4618,-104,2583
233,5495,-3,2583
234,5709,627,2839
235,4864,169,2376
236,5607,189,2826
237,4526,216,2277
238,4662,-886,1763
239,4683,-2334,1464
240,5546,-3247,1602
241,4879,-3155,1548
242,3896,-2052,1631
243,3337,-1933,1756
244,2311,-2685,1886
245,760,-1982,1448
246,-1400,-274,835
247,1202,-2749,1811
248,2264,-1235,3283
249,1945,1560,3601
250,1301,-228,3182
251,879,-1802,3636
252,1464,-663,4866
253,2161,686,5352
254,1503,1021,5296
255,4101,3561,8073
256,861,-482,7714
257,-2037,-1007,5048
258,181,1346,4574
259,-74,869,4410
260,782,-1274,5182
261,-260,-1517,5015
262,-290,-1462,4937
263,-735,-1275,4706
264,-974,-955,4822
265,-317,-1098,5210
266,-1086,-1177,4620
267,852,-1595,5030
268,241,-1191,4791
269,-192,-704,4574
270,-449,-661,4621
271,-520,-656,4783
272,-984,-348,4678
273,-400,-276,4557
274,70,-990,4794
275,243,-1389,4580
276,188,-722,4527
277,-299,-713,4668
278,-732,-419,4688
279,-363,100,4723
280,-656,-456,4736
281,-324,-1306,4711
282,-194,-715,4657
283,-260,-715,4554
284,-389,-637,4720
285,-521,-402,4725
286,-384,-623,4742
287,-426,-753,4752
288,-642,-551,4585
289,-570,-600,4593
290,-450,-462,4764
291,-409,-620,4790
292,-276,-924,4748
293,-751,-488,4811
294,-498,-675,4798
295,-343,-1188,4896
296,-564,-1027,4802
297,-627,-1045,4712
298,-609,-1285,4818
299,-464,-1348,4760
300,-231,-1217,4621
301,-259,-1253,4640
302,-409,-1225,4661
303,-446,-1124,4670
304,-581,-985,4700
305,-1031,-691,4492
306,-38,-511,4766
307,-334,-955,4684
308,-1048,-1292,4684
309,-1444,-488,4677
310,923,664,4565
311,1792,102,4407
312,-2234,-1338,4733
313,-775,-466,4680
314,591,-612,4940
315,316,-707,4761
316,-130,-1030,4767
317,-294,-1081,5055
318,-132,-742,4913
319,-204,-1007,4757
320,-252,-1066,4684
321,-144,-791,4894
322,324,-596,4966
323,272,-305,4695
324,-296,-423,4826
325,-1205,-669,4763
326,-731,-281,4412
327,-229,-109,4518
328,-217,-614,4872
329,-375,-611,4675
330,-462,-573,4628
331,-625,-744,4732
332,-302,-163,4708
333,-275,404,4761
334,-252,777,4890
335,31,933,4955
336,-430,445,4945
337,-803,88,4845
338,-587,309,4770
339,-528,323,4770
340,-628,449,4800
341,-807,521,4817
342,-764,496,4759
343,-513,509,4732
344,-574,-51,4668
345,-615,-39,4793
346,-348,389,4884
347,-502,221,4749
348,-525,319,4726
349,-419,304,4734
350,-442,175,4752
351,-271,215,4725
352,-462,70,4712
353,-722,176,4840
354,-451,135,4844
355,-251,349,5071
356,-155,-34,4829
357,-44,-943,4383
358,-299,-413,4961
359,-387,81,4971
360,-122,-206,4731
361,-240,-150,4944
362,-306,-140,4956
363,-268,-172,4871
364,-178,-146,4832
365,-249,-155,4894
366,-322,-148,4997
367,-283,-141,4951
368,-178,-103,4831
369,-120,-130,4755
370,-199,-186,4723
371,-191,-133,4683
372,-170,-40,4640
373,-321,20,4661
374,-374,77,4641
375,-476,56,4656
376,-342,136,4736
377,-214,187,4736
378,-419,180,4871
379,-290,110,4894
380,-144,-42,4917
381,-118,-162,4967
382,-93,-238,4935
383,-135,-245,4853
384,-161,-233,4775
385,-186,-227,4767
386,-278,-181,4813
387,-357,-149,4799
388,-268,-95,4731
389,-238,-72,4704
390,-382,-73,4784
391,-315,-46,4748
392,-310,3,4740
393,-406,-10,4807
394,-335,-27,4798
395,-246,7,4743
396,-296,85,4749
397,-432,84,4893
398,-542,42,4949
399,-782,94,4885
400,-683,123,4763
401,-330,34,4585
402,-475,-36,4669
403,-551,-47,4796
404,-302,-30,4749
405,-317,-85,4743
406,-626,-114,4846
407,-542,-78,4913
408,-337,-78,4845
409,-452,-96,4847
410,-514,-92,4842
411,-457,-79,4815
412,-599,-25,4791
413,-432,-58,4782
414,-283,-69,4635
415,-419,-85,4649
416,-441,-123,4744
417,-477,-142,4785
418,-528,-144,4776
419,-534,-161,4803
420,-504,-155,4781
421,-487,-140,4813
422,-455,-118,4840
423,-489,-138,4850
424,-562,-151,4904
425,-565,-179,4898
426,-438,-133,4804
427,-438,-119,4759
428,-489,-114,4773
429,-532,-93,4784
430,-617,-73,4810
431,-597,-70,4824
432,-476,-111,4786
433,-464,-121,4803
434,-552,-133,4854
435,-543,-99,4903
436,-522,-82,4909
437,-498,-42,4897
438,-600,-53,4909
439,-602,-51,4913
440,-512,-48,4865
441,-499,-29,4827
442,-492,-73,4850
443,-497,-166,4834
444,-478,-222,4683
445,-442,-178,4533
446,-481,-56,4484
447,-559,43,4491
448,-598,68,4558
449,-591,41,4636
450,-533,31,4680
451,-464,-26,4739
452,-458,-104,4826
453,-481,-144,4933
454,-460,-178,4910
455,-391,-173,4858
456,-377,-143,4822
457,-425,-69,4800
458,-324,-28,4768
459,-194,-22,4751
460,-231,-31,4771
461,-233,-103,4795
462,-179,-120,4821
463,-235,-94,4877
464,-311,-77,4931
465,-375,-62,5045
466,-379,-99,5130
467,-288,-143,5179
468,-151,-274,5153
469,90,-447,4935
470,299,-407,4616
471,250,-177,4652
472,-82,-151,4827
473,-132,-283,4688
474,112,-238,4343
475,70,-76,4313
476,-268,-48,4548
477,-455,-69,4731
478,-400,-116,4772
479,-316,-143,4766
480,-212,-189,4746
481,-203,-231,4741
482,-191,-242,4785
483,-153,-229,4810
484,-135,-224,4800
485,-104,-252,4719
486,-6,-251,4613
487,-3,-197,4523
488,-95,-92,4533
489,-231,22,4666
490,-453,64,4868
491,-512,28,4921
492,-447,-37,4960
493,-339,-67,5025
494,-373,-120,5076
495,-475,-141,5129
496,-447,-173,5120
497,-357,-169,5061
498,-299,-177,4964
499,-310,-172,4876
500,-334,-170,4805
501,-382,-179,4765
502,-456,-166,4757
503,-500,-168,4765
504,-462,-169,4712
505,-517,-148,4712
506,-557,-121,4719
507,-566,-97,4757
508,-492,-85,4743
509,-534,-76,4729
510,-572,-80,4736
511,-539,-77,4746
512,-538,-60,4762
513,-529,-71,4792
514,-457,-69,4845
515,-409,-42,4919
516,-464,-16,5068
517,-485,-77,5179
518,-414,-223,5212
519,-215,-376,4951
520,-52,-273,4597
521,-284,8,4687
522,-710,37,4983
523,-846,-77,5044
524,-656,-159,4767
525,-379,6,4575
526,-363,130,4643
527,-634,74,4758
528,-828,2,4804
529,-799,-30,4761
530,-646,15,4664
531,-594,85,4621
532,-596,150,4616
533,-683,210,4664
534,-879,236,4633
535,-900,224,4176
536,-622,-87,4518
537,-1292,637,4534
538,-1534,792,4403
539,-1263,708,4839
540,-1492,165,4782
541,-1346,382,4928
542,-787,390,4659
543,-760,-19,4497
544,-912,381,4568
545,-856,271,4567
546,-742,18,4475
547,-827,208,4713
548,-971,287,4838
549,-804,228,4822
550,-700,195,4979
551,-559,168,5105
552,-494,94,5117
553,-457,73,5127
554,-420,1,5083
555,-354,-23,4985
556,-314,29,4859
557,-238,35,4732
558,-218,7,4611
559,-271,20,4568
560,-334,65,4557
561,-521,70,4614
562,-590,123,4645
563,-625,158,4710
564,-557,153,4754
565,-548,88,4720
566,-663,111,4746
567,-826,125,4789
568,-888,132,4831
569,-884,78,4840
570,-837,38,4853
571,-841,-5,4890
572,-907,26,4892
573,-998,89,4869
574,-993,74,4817
575,-937,92,4791
576,-953,118,4799
577,-938,202,4745
578,-1167,349,4609
579,-1169,301,4000
580,-1363,806,4851
581,-1175,1231,3751
582,-1257,908,4532
583,-1313,755,4801
584,-929,1000,4776
585,-1149,491,4715
586,-1863,667,4707
587,-1771,830,4747
588,-1012,806,4701
589,-302,75,4678
590,-1200,537,4589
591,-903,458,4471
592,-347,960,4852
593,-261,1051,4946
594,-1069,675,4770
595,-1508,882,4680
596,-1158,1299,4651
597,-10,1557,3742
598,-2546,805,4569
599,-4064,222,3779
600,-2504,1022,4158
601,-1211,1042,4203
602,-1414,786,4182
603,-1928,1023,4199
604,-1895,1291,4358
605,-1523,1449,4516
606,-936,1342,4515
607,-1036,1294,4435
608,-1008,1220,4496
609,-1934,92,4625
610,-1909,868,4662
611,-1131,1316,4733
612,-515,1312,4803
613,-856,231,4697
614,-826,-387,4822
615,-1330,986,4749
616,-1634,540,4670
617,-819,1082,4537
618,-1099,785,4421
619,-1008,813,4386
620,-1230,1211,4301
621,-2146,939,4444
622,-16,627,4761
623,1534,171,4553
624,-807,130,4883
625,460,807,5102
626,160,271,5159
627,1408,675,4829
628,1788,431,5041
629,443,-400,4897
630,-46,622,4740
631,-868,70,4965
632,-1333,473,4956
633,-432,240,4931
634,571,-105,4746
635,559,-658,4611
636,-1127,-1227,4489
637,-910,-1441,4419
638,-723,-1444,4376
639,-1877,-2449,4806
640,-2635,-2684,4078
641,-226,-549,4658
642,-269,673,4804
643,-1005,1129,4840
644,-788,371,4288
645,-1037,370,4473
646,-959,1016,4404
647,-524,751,4644
648,-438,442,4803
649,463,-638,5220
650,24,-212,4828
651,-242,-19,4244
652,109,1157,4538
653,-1189,-304,4769
654,888,309,5391
655,26,147,5771
656,-969,-949,5358
657,-293,-304,5058
658,242,434,4861
659,-395,-587,4872
660,-16,642,4522
661,-302,583,3650
662,-394,574,4784
663,-990,345,4324
664,-1244,337,4161
665,-800,-345,4756
666,-84,332,5016
667,34,-2069,5263
668,-121,-2883,5367
669,484,-880,5190
670,258,-733,4790
671,-2,-889,4744
672,-49,-954,4751
673,-21,-666,4738
674,-247,-455,4720
675,12,-1017,4439
676,-199,-692,4300
677,-397,-579,4465
678,-9,-666,4645
679,377,-1236,4697
680,-644,-1503,4422
681,-464,-909,5133
682,387,-1299,5228
683,342,-2603,4863
684,-273,-1271,4706
685,199,-292,4155
686,-1278,217,4871
687,-1101,480,5117
688,-113,245,5058
689,-478,109,4818
690,-722,-54,4601
691,-929,-124,4577
692,-935,-436,4572
693,-1454,-555,4533
694,-824,190,4572
695,-633,528,4439
696,-1535,-251,4381
697,-1193,-401,4659
698,-877,-148,4959
699,-902,-205,5271
700,-297,309,5181
701,-837,-239,5168
702,-673,249,5003
703,-1016,65,4891
704,-1237,-174,4805
705,-926,266,4911
706,99,97,5050
707,99,97,5050
708,-922,-45,4657
709,-1693,-429,4322
710,-1472,-315,4523
711,-756,219,5033
712,-719,557,5190
713,-331,170,5209
714,-265,-518,4680
715,-900,-157,4030
716,-1907,4,4318
717,-1030,-117,4950
718,-734,846,5057
719,-958,144,4633
720,-1455,98,4434
721,-1150,1063,4943
722,-956,645,5697
723,-1038,210,5503
724,-622,677,4910
725,-575,249,4677
726,-811,321,4847
727,-561,57,4939
728,-545,636,4582
729,-689,1051,4448
730,-1283,920,4081
731,-1040,1099,4349
732,-960,1036,4875
733,-1157,882,4898
734,-1140,604,4516
735,-906,1165,4320
736,-567,1322,4845
737,-1320,650,4590
738,-1101,995,4802
739,-1346,1650,4707
740,-717,1370,4408
741,-1380,1242,3993
742,-1949,1146,4005
743,-1608,1817,4113
744,-1621,2026,3800
745,-2279,1689,3777
746,-2174,1896,3891
747,-1413,2119,4175
748,-1362,2012,4190
749,-1744,1637,4086
750,-2044,1418,4041
751,-2133,1687,3755
752,-2083,2075,3772
753,-1933,2217,3732
754,-1636,2558,2861
755,-1815,2546,2609
756,-2081,2407,3406
757,-2392,2406,3775
758,-2642,2706,3047
759,-2139,3182,2875
760,-2283,3205,3205
761,-2742,2725,3027
762,-2514,2639,2865
763,-2352,2728,2743
764,-2484,2951,2770
765,-2722,2853,2942
766,-2969,2839,3069
767,-2917,2916,3104
768,-2510,2987,2830
769,-2454,2723,2969
770,-2025,2977,2974
771,-1800,3161,2792
772,-2131,3135,2753
773,-2105,3173,2977
774,-2395,3227,2931
775,-2612,3087,2853
776,-2297,3203,2940
777,-2346,3245,2873
778,-2310,3269,2668
779,-1949,3168,2861
780,-2055,3320,2732
781,-2143,3322,2729
782,-1991,3064,3077
783,-2031,3048,3071
784,-2252,3203,2955
785,-2670,3507,2947
786,-2783,3734,2947
787,-2605,3164,3018
788,-2415,3226,2628
789,-1853,3368,2389
790,-1694,3293,2393
791,-1769,3214,2435
792,-1901,3241,2619
793,-2050,3420,2972
794,-2111,3419,3105
795,-1985,3181,3035
796,-2129,3064,2651
797,-2094,3373,2274
798,-1850,3699,2241
799,-1676,3367,2465
800,-1944,3225,2386
801,-1396,3430,2674
802,-1734,3446,2348
803,-1833,3523,2439
804,-2043,3638,2467
